SampleNumber,Test,Matrix,TestPrice,CustomerTestPrice,AnalysisTime,AnalysisEmployee,Site,CollectDate,OrderDetails_User1,OrderDetails_User2,CustomerID,ProjectID,Param,Results_Method,Result,Results_Units,RepLimit,Instrument
2023011501-01,Anions,MQ,19.96,19.96,,,Method blank,1/16/2023,,,Blanks,Blanks,Cl,UA-ClSO4,,mg/L,0.03,Dionex DX-600 Ion Chromatograph
2023011501-01,Anions,MQ,19.96,19.96,,,Method blank,1/16/2023,,,Blanks,Blanks,SO4,UA-ClSO4,,mg/L,0.04,Dionex DX-600 Ion Chromatograph
2023011501-01,Cations,MQ,16.75,16.75,,,Method blank,1/16/2023,,,Blanks,Blanks,Ca,UA-ICP,,mg/L,0.01,Thermo ICAP-6300 ICP-OES
2023011501-01,Cations,MQ,16.75,16.75,,,Method blank,1/16/2023,,,Blanks,Blanks,Fe,UA-ICP,,mg/L,0.02,Thermo ICAP-6300 ICP-OES
2023011501-01,Cations,MQ,16.75,16.75,,,Method blank,1/16/2023,,,Blanks,Blanks,K,UA-ICP,,mg/L,0.01,Thermo ICAP-6300 ICP-OES
2023011501-01,Cations,MQ,16.75,16.75,,,Method blank,1/16/2023,,,Blanks,Blanks,Mg,UA-ICP,,mg/L,0.01,Thermo ICAP-6300 ICP-OES
2023011501-01,Cations,MQ,16.75,16.75,,,Method blank,1/16/2023,,,Blanks,Blanks,Mn,UA-ICP,,mg/L,0.0145,Thermo ICAP-6300 ICP-OES
2023011501-01,Cations,MQ,16.75,16.75,,,Method blank,1/16/2023,,,Blanks,Blanks,Mo,UA-ICP,,mg/L,0.0015,Thermo ICAP-6300 ICP-OES
2023011501-01,Cations,MQ,16.75,16.75,,,Method blank,1/16/2023,,,Blanks,Blanks,Na,UA-ICP,,mg/L,0.02,Thermo ICAP-6300 ICP-OES
2023011501-01,Part C/N,MQ,17.78,17.78,,,Method blank,1/16/2023,,,Blanks,Blanks,Part C,UA-C/N,,µg/L,10,Exeter CE 440 Elemental Analyzer
2023011501-01,Part C/N,MQ,17.78,17.78,,,Method blank,1/16/2023,,,Blanks,Blanks,Part N,UA-C/N,,µg/L,10,Exeter CE 440 Elemental Analyzer
2023011501-01,Part P,MQ,11.71,11.71,,,Method blank,1/16/2023,,,Blanks,Blanks,Part P,ELA-PartP,,µg/L,1,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-01,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,A254,ELA-Absorbance scan,44.6782,m^-1,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-01,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,E2:E3,ELA-Absorbance scan,6.0313,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-01,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,E2:E4,ELA-Absorbance scan,21.4444,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-01,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,S275-295,ELA-Absorbance scan,0.0191,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-01,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,S350-400,ELA-Absorbance scan,0.0185,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-01,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,SR,ELA-Absorbance scan,1.031,,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-01,Absorbance scan,Lake Water,4.76,4.76,1/24/2023 12:00:00 AM,bcooney,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,SUVA,ELA-Absorbance scan,,L/µmol·m,,Shimadzu UV1800 Scanning Spectrophotometer
2023011502-01,Alk,Lake Water,4.31,4.31,1/16/2023 12:00:00 AM,shavens,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,Alk,ELA-MT100,175.7,µEq/L,,MANTECH MT-100
2023011502-01,Anions,Lake Water,19.28,19.28,,,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,Cl,UA-ClSO4,,mg/L,0.03,Dionex DX-600 Ion Chromatograph
2023011502-01,Anions,Lake Water,19.28,19.28,,,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,SO4,UA-ClSO4,,mg/L,0.04,Dionex DX-600 Ion Chromatograph
2023011502-01,Archive,Lake Water,0,0,,,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,Archive,ELA-Archive,,,,
2023011502-01,Cations,Lake Water,16.07,16.07,,,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,Ca,UA-ICP,,mg/L,0.01,Thermo ICAP-6300 ICP-OES
2023011502-01,Cations,Lake Water,16.07,16.07,,,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,Fe,UA-ICP,,mg/L,0.02,Thermo ICAP-6300 ICP-OES
2023011502-01,Cations,Lake Water,16.07,16.07,,,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,K,UA-ICP,,mg/L,0.01,Thermo ICAP-6300 ICP-OES
2023011502-01,Cations,Lake Water,16.07,16.07,,,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,Mg,UA-ICP,,mg/L,0.01,Thermo ICAP-6300 ICP-OES
2023011502-01,Cations,Lake Water,16.07,16.07,,,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,Mn,UA-ICP,,mg/L,0.0145,Thermo ICAP-6300 ICP-OES
2023011502-01,Cations,Lake Water,16.07,16.07,,,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,Mo,UA-ICP,,mg/L,0.0015,Thermo ICAP-6300 ICP-OES
2023011502-01,Cations,Lake Water,16.07,16.07,,,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,Na,UA-ICP,,mg/L,0.02,Thermo ICAP-6300 ICP-OES
2023011502-01,Chla,Lake Water,11.44,11.44,7/7/2023 12:00:00 AM,eloewen,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,Chla,ELA-Chla,1.12,µg/L,0.5,Turner Designs Trilogy Fluorometer
2023011502-01,DIC,Lake Water,9.46,9.46,1/16/2023 12:00:00 AM,bcooney,239 LA CB 1m,1/16/2023,,,LTER,239 Profile,DIC,ELA-DIC,211,µmol/L,2.1,LI-850 LI-COR CO2/H20 Gas Analyzer
